part,prov,first_ship,last_ship,partprov
102078,NT,2023-12-18,2025-05-19,102078NT
102078,NU,2024-02-12,2025-05-05,102078NU
102078,ON,2023-10-23,2025-06-16,102078ON
102078,PE,2024-05-06,2025-05-19,102078PE
102078,SK,2023-07-31,2025-06-09,102078SK
102078,YT,2025-06-02,2025-06-02,102078YT
102080,SK,2024-08-26,2024-08-26,102080SK
102082,SK,2024-02-05,2024-02-05,102082SK
102084,AB,2024-04-08,2024-12-09,102084AB
102084,BC,2023-12-18,2024-04-01,102084BC
102084,MB,2024-01-08,2025-05-05,102084MB
102084,NU,2024-02-12,2024-09-23,102084NU
102084,ON,2023-11-13,2025-06-16,102084ON
102084,SK,2024-01-08,2025-05-12,102084SK
102085,AB,2024-04-15,2024-06-03,102085AB
102085,ON,2023-11-13,2025-04-07,102085ON
102086,AB,2023-12-11,2024-05-27,102086AB
102086,BC,2023-12-18,2024-05-06,102086BC
102086,MB,2024-01-08,2025-04-07,102086MB
102086,ON,2024-04-01,2025-04-21,102086ON
102086,SK,2024-01-15,2025-05-05,102086SK
102090,NB,2024-12-30,2024-12-30,102090NB
102090,QC,2023-10-23,2024-10-07,102090QC
102094,QC,2023-10-30,2023-12-04,102094QC
102095,AB,2023-11-27,2025-02-03,102095AB
102095,NB,2024-02-12,2024-02-12,102095NB
102095,ON,2023-09-25,2025-05-19,102095ON
102096,NB,2024-02-12,2024-02-12,102096NB
102096,ON,2023-09-25,2025-02-10,102096ON
102097,NB,2024-02-12,2024-02-12,102097NB
102097,ON,2023-09-25,2025-03-10,102097ON
102097,PE,2023-11-06,2023-11-06,102097PE
102098,AB,2023-10-16,2025-06-16,102098AB
102098,BC,2023-09-04,2025-06-09,102098BC
102098,MB,2023-10-30,2025-06-16,102098MB
102098,NL,2024-03-11,2025-06-16,102098NL
102098,NS,2024-03-11,2025-06-16,102098NS
102098,NT,2025-04-28,2025-05-19,102098NT
102098,NU,2024-06-17,2025-02-10,102098NU
102098,ON,2023-09-25,2025-06-16,102098ON
102098,PE,2024-05-06,2025-02-24,102098PE
102098,SK,2023-10-09,2025-06-16,102098SK
102098,YT,2025-06-02,2025-06-02,102098YT
102099,AB,2024-10-21,2025-06-16,102099AB
102099,MB,2024-10-28,2025-06-16,102099MB
102099,NT,2025-05-19,2025-05-26,102099NT
102099,NU,2024-10-28,2025-06-09,102099NU
102099,ON,2025-01-13,2025-06-09,102099ON
102099,SK,2024-10-14,2025-06-16,102099SK
102101,QC,2023-10-30,2023-12-04,102101QC
102105,QC,2023-10-23,2024-12-09,102105QC
102106,QC,2024-05-06,2025-06-16,102106QC
102125,QC,2023-11-06,2025-06-02,102125QC
102127,AB,2023-11-27,2025-04-28,102127AB
102127,MB,2023-12-11,2025-06-16,102127MB
102127,NL,2024-04-15,2025-05-26,102127NL
102127,NT,2025-04-28,2025-05-19,102127NT
102127,NU,2024-02-12,2025-05-05,102127NU
102127,ON,2024-02-26,2025-05-19,102127ON
102127,PE,2023-10-23,2025-06-02,102127PE
102127,SK,2023-12-18,2025-05-05,102127SK
102128,AB,2024-05-06,2024-06-10,102128AB
102128,MB,2024-05-13,2024-09-16,102128MB
102128,NU,2024-05-06,2024-09-23,102128NU
102128,ON,2024-01-29,2024-04-22,102128ON
102128,SK,2024-04-15,2024-08-26,102128SK
102142,QC,2023-08-28,2024-03-18,102142QC
102151,AB,2023-08-28,2024-04-22,102151AB
102151,BC,2023-09-04,2025-06-09,102151BC
102151,MB,2023-10-09,2024-12-30,102151MB
102151,NT,2023-12-18,2025-05-26,102151NT
102151,ON,2023-08-21,2025-06-09,102151ON
102151,PE,2023-11-20,2025-02-24,102151PE
102151,SK,2023-10-09,2025-02-10,102151SK
102151,YT,2023-11-20,2025-03-31,102151YT
102152,AB,2023-08-28,2024-04-22,102152AB
102152,BC,2023-09-04,2024-07-01,102152BC
102152,MB,2023-10-09,2024-12-30,102152MB
102152,NT,2023-12-18,2025-01-20,102152NT
102152,ON,2023-08-21,2024-07-15,102152ON
102152,SK,2023-10-09,2025-02-10,102152SK
102152,YT,2023-11-20,2024-03-25,102152YT
102153,AB,2023-09-11,2024-05-27,102153AB
102153,BC,2023-09-11,2024-01-22,102153BC
102153,MB,2023-10-09,2024-12-30,102153MB
102153,NT,2023-12-18,2025-01-20,102153NT
102153,ON,2023-09-11,2024-07-08,102153ON
102153,SK,2023-10-09,2025-02-10,102153SK
102153,YT,2023-11-20,2024-06-17,102153YT
102154,AB,2023-08-28,2025-06-16,102154AB
102154,BC,2023-09-04,2025-06-09,102154BC
102154,MB,2023-10-09,2025-01-13,102154MB
102154,NT,2023-12-18,2025-05-26,102154NT
102154,ON,2023-08-21,2025-06-09,102154ON
102154,SK,2023-10-09,2025-06-09,102154SK
102154,YT,2023-11-20,2025-03-10,102154YT
102155,AB,2023-08-28,2024-04-22,102155AB
102155,BC,2023-09-04,2025-06-09,102155BC
102155,MB,2023-10-09,2025-06-16,102155MB
102155,NL,2024-04-08,2025-02-24,102155NL
102155,NT,2023-12-18,2025-05-26,102155NT
102155,ON,2023-08-21,2025-06-16,102155ON
102155,SK,2023-10-09,2025-02-10,102155SK
102155,YT,2023-12-11,2025-04-28,102155YT
102156,AB,2023-09-04,2025-06-16,102156AB
102156,BC,2023-09-04,2025-06-09,102156BC
102156,MB,2023-10-09,2025-06-16,102156MB
102156,NL,2024-07-15,2025-02-10,102156NL
102156,NT,2023-12-18,2025-05-26,102156NT
102156,ON,2023-08-21,2025-06-16,102156ON
102156,PE,2023-11-20,2025-06-02,102156PE
102156,SK,2023-10-09,2025-06-16,102156SK
102156,YT,2023-09-25,2025-04-28,102156YT
102157,AB,2023-08-28,2024-07-08,102157AB
102157,MB,2023-10-09,2025-01-13,102157MB
102157,NB,2023-08-28,2023-08-28,102157NB
102157,NT,2023-12-18,2025-01-20,102157NT
102157,ON,2023-08-21,2024-05-06,102157ON
102157,SK,2023-10-09,2025-01-06,102157SK
102157,YT,2023-11-20,2024-05-27,102157YT
102158,AB,2023-08-28,2024-07-08,102158AB
102158,MB,2023-10-09,2025-01-13,102158MB
